Index;Country;Brown Ale;Pale Lager;Stout;Golden Ale/Blond Ale;Bitter;American Pale Ale;Irish Ale;Wheat Ale;English Strong Ale;Black IPA;India Pale Ale (IPA);American Strong Ale;Imperial IPA;Berliner Weisse;Sour/Wild Ale;Zwickel/Keller/Landbier;Saison;Session IPA;Imperial Stout;Foreign Stout;Porter;Spice/Herb/Vegetable;Pilsener;Belgian Ale;Dry Stout;Mild Ale;Premium Lager;Amber Ale;Baltic Porter;California Common;Imperial Porter;Dortmunder/Helles;Smoked;Abbey Tripel;Premium Bitter/ESB;Belgian Strong Ale;Bière de Garde;German Hefeweizen;English Pale Ale;Traditional Ale;Sweet Stout;Kölsch;Altbier;Sour Red/Brown;Fruit Beer;India Style Lager;Lambic Style - Fruit;Cider;Czech Pilsner (Světlý);Witbier;Cream Ale;Scotch Ale;Dunkel/Tmavý;Sahti/Gotlandsdricke/Koduõlu;Heller Bock;Amber Lager/Vienna;Doppelbock;Imperial Pils/Strong Pale Lager;Abbey Dubbel;Dunkelweizen;Specialty Grain;Oktoberfest/Märzen;Old Ale;Dunkler Bock;Malt Liquor;Radler/Shandy;Scottish Ale;Schwarzbier;Low Alcohol;Barley Wine;Weizen Bock;Grodziskie/Gose/Lichtenhainer;Polotmavý;Abt/Quadrupel;German Kristallweizen;Perry;Eisbock;Lambic Style - Gueuze;Lambic Style - Unblended;Lambic Style - Faro
26;Austria;3.4558;2.2304;3.5019;3.2165;3.13;3.4422;3.2109;3.408;3.5062;3.6903;3.5437;3.7062;3.7348;3.5139;3.7027;3.0856;3.6115;3.465;3.8602;3.5923;3.5105;3.2194;3.0086;3.4507;3.4284;3.1154;2.7535;3.3321;3.6491;3.2185;3.8;2.8958;3.5183;3.5394;3.2606;3.6076;3.3786;3.2097;3.2587;3.4159;3.6772;3.122;3.2319;3.6763;3.2289;3.4598;3.5784;3.0333;2.89;3.2533;3.21;3.5891;3.0668;3.55;3.1033;3.1047;3.4856;3.0346;3.6013;3.2713;3.2076;2.9854;3.6735;3.2906;2.7417;2.2527;3.5375;3.1382;2.338;3.7724;3.6028;3.5162;3.0368;3.8984;2.9852;3;3.6846;3.7469;3.6545;3.275
27;Norway;3.1092;1.973;3.3346;2.8994;2.8806;3.2134;2.8563;3.0132;3.205;3.5476;3.3886;3.6176;3.5985;3.1763;3.5072;2.8655;3.3611;3.1543;3.8184;3.4612;3.3335;3.0529;2.4593;3.1819;3.2011;2.9908;2.5329;3.1073;3.4852;2.9898;3.7179;2.6374;3.3099;3.4003;3.0559;3.4599;3.1664;2.9609;2.8284;3.1329;3.317;2.8573;3.0871;3.5703;2.8823;3.2826;3.4642;2.4627;2.8248;3.0024;2.8335;3.3157;2.8379;3.1752;2.958;2.5823;3.3435;2.5176;3.3611;3.0384;2.9356;2.7915;3.5054;3.0397;1.9768;1.7028;3.139;3.0115;1.8729;3.5963;3.339;3.2643;2.9648;3.7351;2.645;1.479;3.5089;3.6459;3.5544;3.3584
28;Italy;3.3794;2.0918;3.49;3.2553;3.2256;3.4617;2.8923;3.2985;3.2455;3.6621;3.5538;3.674;3.7579;3.4712;3.7402;3.3257;3.5824;3.5371;3.9187;3.6456;3.579;3.2221;2.9798;3.372;3.3544;3.3643;2.6006;3.3159;3.5763;3.2496;3.85;2.9409;3.6198;3.5821;3.2513;3.6462;3.2524;3.1735;3.1794;3.582;3.555;3.2875;3.2295;3.8011;3.1462;3.564;3.7625;3.1185;3.1378;3.2193;3.3339;3.4327;3.1107;3.3684;3.1121;2.9695;3.4135;2.6057;3.52;3.2943;3.1015;3.0559;3.6456;3.0636;2.1425;1.9832;3.2306;3.211;2.1729;3.7847;3.6698;3.5096;3.1641;4.0988;2.9583;1.7;3.8263;3.9096;3.8123;3.4643
29;Canada;3.1643;2.0271;3.4248;2.8472;3.0734;3.3296;2.9791;3.0019;3.3305;3.5954;3.4713;3.5599;3.6359;3.4627;3.619;3.331;3.5419;3.3903;3.7888;3.4688;3.3726;3.1133;2.9168;3.3334;3.3011;3.1241;2.6668;3.0093;3.6426;3.1777;3.6752;2.9306;3.4507;3.5395;3.2188;3.5784;3.2735;3.221;3.0107;3.3577;3.4307;3.0254;3.2558;3.6446;2.9318;3.481;3.5294;2.8325;3.1104;3.1274;2.8745;3.4202;3.0727;3.3363;3.1232;2.7409;3.4225;2.6927;3.4781;3.212;3.2119;3.1185;3.5236;3.1299;1.7311;2.4862;3.0919;3.2021;1.9527;3.5931;3.6053;3.4355;3.2;3.8492;3.0163;2.6128;3.5821;3.7209;3.6678;3.2295
30;Switzerland;3.3356;2.249;3.4797;3.0103;3.0936;3.4641;3.2318;3.2349;3.4337;3.7058;3.5374;3.647;3.7682;3.306;3.7152;3.12;3.5637;3.4442;3.9104;3.6465;3.5059;3.0857;2.8765;3.2646;3.4578;3.231;2.7157;3.1088;3.637;3.3047;3.7605;2.8703;3.4301;3.5191;3.3777;3.5992;3.1469;3.1171;3.0958;3.4434;3.5374;3.1781;3.2322;3.685;2.9517;3.53;3.4908;3.2545;3.0224;3.1531;3.068;3.5053;3.0068;3.3208;3.1377;2.9274;3.417;2.4354;3.4239;3.1408;3.0749;2.9908;3.6556;3.1956;2.2319;1.8175;3.2563;3.1844;2.0306;3.6835;3.4355;3.3383;2.9935;3.8466;3.0304;2.5;3.7364;3.7019;3.6625;3.2303
31;Australia;3.2972;2.0431;3.4275;2.98;2.9355;3.2646;2.9449;2.9183;3.3222;3.7202;3.5388;3.6998;3.7461;3.3345;3.5318;3.1611;3.5336;3.3784;3.8666;3.4327;3.4025;2.9815;2.8035;3.254;3.2553;2.9927;2.5095;3.2486;3.6429;3.1731;3.7757;2.865;3.442;3.5501;3.1558;3.5997;3.3449;3.1456;2.986;3.3504;3.4523;2.8871;3.213;3.6265;2.829;3.427;3.4291;2.6386;2.9179;3.0375;2.925;3.4892;3.0958;3.65;3.1129;2.7178;3.5148;2.6443;3.434;3.2848;3.1387;3.0762;3.4298;3.11;1.8507;1.9792;3.3833;3.1675;1.8609;3.6687;3.5872;3.3673;3.181;3.9589;3.0207;2.2984;3.7988;3.7377;3.7468;3.2159
32;United States, New York;3.2857;2.0048;3.5334;2.944;3.0906;3.3924;3.1051;3.0276;3.3738;3.6363;3.5196;3.6315;3.7499;3.6377;3.7611;3.2851;3.6333;3.5017;3.8474;3.6228;3.4732;3.2504;3.0303;3.4591;3.3703;3.24;2.6859;3.2163;3.7138;3.2287;3.7412;3.1106;3.5682;3.6121;3.2569;3.6833;3.4593;3.3317;3.0756;3.5209;3.5493;3.1054;3.2952;3.7971;3.0825;3.5624;3.7317;3.1369;3.1547;3.2948;3.1525;3.4773;3.1526;3.6028;3.2811;2.92;3.5286;2.9422;3.6214;3.4084;3.2817;3.1768;3.5968;3.2847;1.8736;2.7493;3.1832;3.3369;1.8795;3.6282;3.6702;3.6236;3.1465;3.9173;3.2045;2.4045;3.7881;3.8886;3.7938;3.3959
33;Malaysia;3.3381;2.3072;3.4256;3.2656;3.2153;3.3926;3.1265;3.263;3.413;3.5326;3.4394;3.5717;3.5576;3.3441;3.4626;3.0538;3.3799;3.4056;3.7201;3.3583;3.4554;3.2859;3.0198;3.2318;3.3533;3.2589;3.0079;3.3419;3.4723;3.36;3.6304;3;3.4169;3.3407;3.3014;3.3379;3.0095;3.0976;3.204;3.151;3.5137;3.1462;3.325;3.5415;3.1787;3.425;3.4625;2.7522;3.0667;3.1037;3.35;3.4857;3.1708;3.32;3.1179;3.063;3.3256;2.6452;3.2909;3.0857;3.2877;3.1;3.4659;3.1952;2.1852;1.7933;3.4;3.2611;2.4909;3.5737;3.4;3.3424;3.3;3.478;2.8;2.7;3.5125;3.5905;3.5143;3.25
34;United States, Texas;3.2323;1.955;3.5026;2.906;3.0135;3.26;3.0514;2.9349;3.3955;3.5496;3.452;3.5892;3.7047;3.5469;3.7001;3.079;3.5334;3.4418;3.8444;3.5612;3.435;3.1981;2.9256;3.2886;3.3149;3.1524;2.5881;3.0607;3.6349;3.1034;3.7375;2.8757;3.5198;3.5034;3.2022;3.5753;3.3535;3.2234;3.0359;3.479;3.5344;2.9656;3.2045;3.7069;2.9923;3.3497;3.6103;2.8697;2.98;3.2087;2.9216;3.5044;3.0721;3.3436;3.0939;2.8264;3.4523;2.9335;3.4914;3.2871;3.1067;3.0917;3.5738;3.1087;1.782;2.6703;3.1203;3.1807;1.9021;3.6409;3.6053;3.5236;3.2105;3.8218;3.0854;2.4172;3.6145;3.8172;3.7455;3.2746
35;United States, Oregon;3.3197;1.9947;3.6488;2.9817;3.061;3.3355;3.1523;2.9935;3.4421;3.6496;3.5354;3.7226;3.767;3.678;3.7914;3.3529;3.6447;3.3884;3.9111;3.6721;3.5187;3.2675;3.126;3.4471;3.4713;3.4238;2.8269;3.2597;3.7772;3.3067;3.8267;3.1849;3.6073;3.5976;3.2767;3.7123;3.5413;3.3373;3.1705;3.7262;3.6562;3.1758;3.3957;3.8135;3.0935;3.5299;3.67;3.008;3.199;3.269;3.1743;3.5517;3.1946;3.7231;3.3744;2.9333;3.6053;3.1779;3.5611;3.3808;3.3361;3.2383;3.6467;3.3952;1.8539;2.6438;3.3859;3.3586;1.8977;3.7776;3.6654;3.486;3.19;3.873;3.35;2.7222;3.7297;3.9428;3.7889;3.4719
36;Belarus;3.2357;2.1381;3.3497;3.0011;2.9449;3.345;2.8429;3.18;3.4442;3.5727;3.4819;3.7379;3.7516;3.4256;3.575;2.7246;3.4396;3.3;4.0031;3.6065;3.4795;2.8716;2.8555;3.2789;3.1146;3.0333;2.5269;3.162;3.5156;3.1;3.9132;2.8936;3.5486;3.6093;3.2696;3.8132;3.1154;3.0879;2.8783;2.8652;3.4548;2.8476;3.2083;3.59;2.6966;3.3286;3.5238;2.6;2.8889;2.9377;3.1333;3.5346;2.8248;3.1286;3.1297;2.6574;3.5595;2.4533;3.5225;3.3128;3.1818;2.9396;3.7909;3.1324;2.0077;2.1571;3.07;2.7722;2.223;3.9525;3.781;3.3378;2.831;4.0517;3.3227;;3.93;3.8667;3.85;3.14
37;United States, Georgia;3.313;2.0755;3.5785;2.8745;3.1266;3.2931;3.1023;2.9767;3.3621;3.6951;3.5083;3.6509;3.7686;3.5517;3.7405;3.3319;3.5836;3.4544;3.888;3.5983;3.4733;3.2761;2.9567;3.4378;3.3601;3.2293;2.6636;3.1494;3.7234;3.1952;3.7447;3.0049;3.5856;3.6236;3.2891;3.6826;3.3967;3.3237;3.0371;3.4378;3.5635;3.0406;3.1703;3.8109;3.037;3.4866;3.6073;2.9765;3.1197;3.2877;2.8559;3.5558;3.147;3.4667;3.2741;2.8663;3.5087;3.1609;3.617;3.3664;3.2947;3.2045;3.6407;3.1929;2.0688;2.717;3.1878;3.2784;1.7545;3.6915;3.6458;3.5666;3.1125;3.9486;3.2376;2.55;3.7358;3.7627;3.7058;3.2812
38;United States, Michigan;3.3359;1.9644;3.5067;2.9531;3.0825;3.3478;3.0413;3.0366;3.4168;3.6599;3.5166;3.6629;3.7314;3.6191;3.7659;3.2959;3.6217;3.4463;3.8932;3.5878;3.4594;3.2637;3.0219;3.4794;3.3849;3.0729;2.6657;3.1625;3.6779;3.1762;3.7754;3.1541;3.5646;3.5976;3.2521;3.6851;3.5134;3.3436;3.021;3.4951;3.5574;3.0329;3.2554;3.7974;3.1225;3.5108;3.7392;3.1697;3.111;3.288;3.0044;3.5519;3.1461;3.3853;3.2576;2.9046;3.5356;2.9351;3.5701;3.3797;3.3171;3.1552;3.5592;3.2172;1.9429;2.8351;3.2279;3.2526;1.8483;3.7044;3.7282;3.6493;3.2636;3.8965;3.4048;2.8;3.7276;3.8918;3.7091;3.33
39;United States, Ohio;3.3344;2.0196;3.5574;3.0018;3.1442;3.3723;3.1389;3.0427;3.414;3.6466;3.521;3.6897;3.7543;3.6053;3.7623;3.357;3.6154;3.4598;3.9101;3.6546;3.5158;3.3339;3.027;3.4777;3.3958;3.2682;2.7494;3.2151;3.7166;3.2109;3.7867;3.1573;3.5486;3.6016;3.2882;3.6984;3.4586;3.2867;3.1585;3.5131;3.5763;3.1179;3.3392;3.7859;3.1225;3.5262;3.7259;3.0769;3.0779;3.3049;3.059;3.6151;3.1807;3.4796;3.2546;2.9282;3.5373;3.0098;3.5905;3.3501;3.3475;3.1904;3.6695;3.2419;1.8565;2.9118;3.2732;3.315;1.7463;3.6992;3.6439;3.5662;3.2265;3.9051;3.2379;2.6476;3.7672;3.9222;3.7219;3.2194
40;United States, Maryland;3.2796;1.975;3.5189;2.9407;3.1106;3.3238;3.0536;2.9789;3.3487;3.5909;3.4788;3.5983;3.6995;3.4103;3.5559;3.3163;3.5252;3.4393;3.7976;3.6121;3.465;3.2912;3.0577;3.418;3.3582;3.2624;2.7526;3.1612;3.6637;3.2012;3.7557;3.0956;3.594;3.5606;3.2266;3.6268;3.4452;3.2698;3.0983;3.445;3.5391;3.0936;3.2285;3.655;3.0081;3.498;3.6873;3.0909;3.125;3.2602;3.1096;3.5114;3.1732;3.5174;3.2769;2.9353;3.5384;3.0021;3.5154;3.3387;3.3119;3.177;3.5889;3.2765;1.8581;2.4798;3.1861;3.3049;1.8008;3.6386;3.6472;3.4527;3.1938;3.853;3.2618;2.7;3.757;3.8637;3.5443;3.3981
41;Japan;3.37;2.2819;3.4952;3.222;3.1342;3.4341;3.2062;3.3411;3.4172;3.685;3.559;3.7141;3.7578;3.5809;3.7282;3.5229;3.6671;3.5514;3.8745;3.522;3.4885;3.2166;3.1905;3.4508;3.286;3.3435;2.9806;3.3388;3.6141;3.355;3.7321;3.2544;3.5906;3.5838;3.2628;3.6593;3.4262;3.3153;3.1197;3.5537;3.5217;3.1096;3.1695;3.7722;3.2205;3.5676;3.7332;3.085;3.3696;3.2467;3.221;3.5439;3.1521;3.45;3.2863;3.0147;3.604;3.0017;3.5158;3.3379;3.3795;3.2126;3.605;3.3591;1.9944;2.6571;3.3041;3.2327;1.9889;3.7472;3.7156;3.6116;3.4533;3.9061;3.0797;3.3333;3.7552;3.8915;3.8067;3.4826
42;Bulgaria;3.8;2.3569;3.7375;3.15;2.75;3.4583;3.425;4.4667;3.4143;3.7333;3.825;4.4;4.1;3.2333;3.7667;3.25;3.9667;3.7;4.3;4.1;3.1111;3;2.6091;3.625;3.5;3.7;1.5667;3.95;3.9;3.25;4.325;2.85;4.46;3.6333;3.3429;4.3111;3.1;3.3611;3.1333;4.1;3.4;3.25;3.1;4.3;3.725;;3.4;;3.4;2.88;;3.6;2.45;;3.05;2.9;3.9333;2.15;3.3667;3.95;3.5;3.3;3.9;3.86;0.8;2.4;;2.8;1.1;4.5;4.425;3.92;3.15;4.3857;1.9;;3.9;3.9;4;3.3
43;United States, Kansas;3.2872;2.0854;3.5223;2.8418;3.0866;3.3227;3.1061;2.8692;3.4077;3.5822;3.4968;3.6848;3.743;3.5315;3.7467;3.4519;3.6641;3.4696;3.8917;3.6101;3.4237;3.1408;3.0503;3.5047;3.2382;3.279;2.7242;3.1129;3.7508;3.2849;3.74;3.0648;3.5176;3.6898;3.2529;3.7402;3.5473;3.3024;3.1073;3.6171;3.5019;3.0632;3.3106;3.8295;2.9714;3.4162;3.686;3.0636;3.1156;3.2278;2.9173;3.5362;3.1545;3.3;3.2574;2.8553;3.5069;3.172;3.6264;3.3808;3.2016;3.1887;3.6564;3.2561;2.026;2.8984;3.1621;3.2936;1.8773;3.7529;3.6602;3.5464;3.15;3.9619;3.3136;;3.7629;3.9277;3.6;3.36
44;Russia;3.3657;2.3116;3.5755;3.3556;3.1691;3.5824;3.0714;3.2889;3.3662;3.6936;3.6115;3.8296;3.8261;3.6412;3.881;2.8696;3.65;3.5833;3.8874;3.269;3.5585;3.3419;2.9198;3.5097;3.3453;2.85;2.7318;3.3663;3.5617;2.9333;3.9388;3.1142;3.6943;3.705;3.3464;3.743;3.3727;3.2947;3.0625;3.2636;3.4954;3.2917;3.7875;3.7549;3.2172;3.4706;3.4864;2.6533;2.9646;3.1493;;3.5647;3.0628;3.44;3.2;2.88;3.6886;2.3358;3.6573;3.2904;3.3784;3.1949;3.6864;3.5667;1.7;2.2391;3.6;3.1175;1.9079;3.9781;3.8755;3.6365;3.1562;4.0143;3.4158;2.2;4.0818;3.8391;3.8;3.675
45;United States, California;3.3367;2.0405;3.5699;3.029;3.1313;3.3711;3.1605;3.0135;3.4175;3.6425;3.5487;3.7077;3.7636;3.5595;3.7866;3.3654;3.6498;3.5374;3.8875;3.6029;3.4991;3.2774;3.0417;3.4778;3.3669;3.3222;2.734;3.2493;3.7123;3.2908;3.7905;3.107;3.5819;3.6041;3.2717;3.6898;3.5194;3.3001;3.1383;3.5767;3.559;3.0976;3.3149;3.8325;3.1392;3.563;3.6953;2.87;3.1399;3.2832;3.0712;3.5789;3.2404;3.4776;3.2681;2.8576;3.5449;2.998;3.601;3.3842;3.2757;3.1776;3.6833;3.3527;1.981;2.5468;3.2562;3.3609;1.8814;3.7442;3.6588;3.5949;3.2284;3.914;3.1886;2.5161;3.7168;3.9255;3.8095;3.2557
46;United States, Pennsylvania;3.2406;1.9353;3.5058;2.8353;3.0427;3.276;3.0256;2.9433;3.2995;3.5541;3.4454;3.6161;3.7036;3.5046;3.7279;3.2295;3.5624;3.3391;3.8282;3.5681;3.4448;3.1871;2.9562;3.3975;3.3428;3.2171;2.6172;3.1135;3.6815;3.1351;3.7227;2.9772;3.5314;3.577;3.2342;3.6494;3.4337;3.2904;3.0002;3.4226;3.5287;2.9686;3.2405;3.771;3.0439;3.4125;3.6876;3.1105;3.0323;3.2171;2.9296;3.5208;3.1345;3.4265;3.2413;2.8713;3.5142;2.9703;3.5523;3.3785;3.177;3.0719;3.5582;3.1959;1.8156;2.8009;3.0871;3.2764;1.8626;3.6721;3.5987;3.5315;3.1216;3.8763;3.2206;2.8696;3.7643;3.8949;3.7746;3.4333
47;United States, New Jersey;3.2841;2.0051;3.5125;2.9217;3.0869;3.3561;3.0607;3.0505;3.3795;3.6184;3.4955;3.6264;3.716;3.6103;3.7489;3.2527;3.6025;3.4146;3.8512;3.608;3.4612;3.2447;2.9611;3.433;3.3695;3.1706;2.6658;3.2099;3.6991;3.2113;3.7504;3.0043;3.5463;3.5934;3.2957;3.6739;3.5133;3.2741;3.1271;3.4774;3.5388;3.0554;3.2926;3.7255;3.0552;3.5291;3.6747;2.9737;3.135;3.2436;3.145;3.4983;3.1733;3.5479;3.2972;2.9191;3.5273;3.0072;3.5691;3.318;3.3067;3.147;3.5985;3.26;1.8725;2.4074;3.1394;3.2447;1.6746;3.6369;3.6771;3.5888;3.0186;3.8392;3.1639;2.49;3.7289;3.8485;3.7488;3.2453
48;Hungary;3.3483;2.0662;3.5273;3.1286;3.034;3.4323;3.0709;3.2386;3.3964;3.8145;3.6247;3.9591;3.924;3.0388;3.7841;3.2558;3.6302;3.3975;4.0882;3.7897;3.5079;2.9903;2.7957;3.3921;3.3792;3.175;2.6682;3.356;3.7403;3.2192;3.9981;2.9102;3.6514;3.7725;3.3353;3.7919;3.3379;3.3056;2.9927;3.4563;3.7561;2.9173;3.3042;3.7655;2.9223;3.4022;3.4984;2.1;2.9653;3.2591;3.4143;3.5278;3.1004;3.1714;3.3114;2.9029;3.5828;2.6773;3.6151;3.4289;3.1297;3.0064;3.675;3.3512;1.9;1.8981;3.025;2.9985;2.086;3.9523;3.7764;3.45;3.0762;4.1341;3.075;1.5143;4.0667;3.8065;3.75;3.2783
49;Greece;3.1806;2.1783;3.6126;3.2496;2.8271;3.5494;2.9778;3.0656;3.5595;3.7555;3.6595;3.8211;3.8272;3.6472;3.819;3.1628;3.6875;3.5089;4.0661;3.7917;3.6598;3.08;2.7287;3.4166;3.2851;3.15;2.5417;3.3931;3.517;3.2462;3.9109;2.914;3.7924;3.5967;3.2036;3.6933;3.295;3.2341;3;3.4778;3.7857;3.0333;3.1958;3.7947;2.9322;3.6417;3.7591;3.32;3.0143;3.2622;3.2333;3.3216;3.1506;3.8;3.3;2.9491;3.5324;2.5984;3.5609;3.3444;3.2207;2.82;3.725;3.2054;2.0333;1.9037;3.3667;3.1061;1.9692;3.708;3.6907;3.5231;2.92;3.9656;3.2667;;3.81;3.9709;3.6294;3.62
50;Luxembourg;3.1043;1.9902;3.4107;2.9345;2.9075;3.4301;3.1667;3.3611;3.3787;3.6462;3.4836;3.7056;3.74;3.4846;3.7758;3.075;3.56;3.4;3.9724;3.5;3.4403;3.08;2.7086;3.2667;3.475;3.1068;2.7065;3.02;3.42;2.78;3.85;2.815;3.4676;3.462;3.08;3.5257;3.2357;3.1493;3.48;3.2348;3.15;2.6333;3.2667;3.7229;2.752;3.6714;3.6207;2.45;2.9292;3.1111;3.4;3.4917;3.0697;3.45;3.2579;2.797;3.548;2.45;3.4044;2.9875;2.9455;2.1833;3.8186;3.225;1.7143;2.025;3;3.3636;2.3;3.8184;3.7643;3.4667;3.2;3.9056;2.78;2.8;3.9;3.7843;4.1333;3.5429
51;Mexico;3.2373;2.6733;3.386;3.0312;3.0332;3.3863;3.3184;3.2611;3.429;3.6576;3.5544;3.6264;3.8114;3.3875;3.8147;3.2364;3.5139;3.625;3.8733;3.6667;3.3339;3.1128;3.0607;3.4909;3.3673;3.1182;3.0795;3.3255;3.625;3.3357;3.865;2.9391;3.5341;3.7036;3.2159;3.7545;3.25;3.335;3.0738;3.4237;3.5262;3.1194;3.3875;3.8585;3.0914;3.55;3.4386;3.2263;3.1243;3.3423;2.94;3.35;3.3229;;3.1595;2.9122;3.5204;3.1088;3.5356;3.2388;3.3059;3.3722;3.5167;3.25;2.8893;2.7769;3.225;3.2911;2.7761;3.7043;3.4413;3.5286;3.325;4.0764;3.1412;3.3;3.5571;3.6143;3.55;3.4
52;Wales;3.3333;2.2268;3.3254;3.1689;2.9188;3.5;2.82;3.5667;3.3717;3.65;3.4508;3.5333;4.1;3.85;4.1;3.0857;3.8526;3.8091;4.0944;3.6714;3.4979;2.4917;3.2;3.275;3.3571;3.2138;2.485;3.4308;3.675;3.4;4.1286;3.5111;3.4;3.7556;3.05;3.5931;3.86;3.0333;2.9333;3.6167;3.5571;4.1;3.6667;3.2;2.6556;2.85;3.36;2.5;3.9;3.3417;3.1;3.45;3.16;;;3.05;2.9857;2.7;3.5444;2.78;3.5;2.9667;3.4053;3.1333;;1;4;3.3625;1.7;3.08;4;4.1;;3.9667;;5;3.9;4.2;;
53;Slovenia;3.3836;2.1493;3.5215;3.0913;2.9528;3.4673;3.2188;3.3311;3.4448;3.7783;3.5853;3.3111;3.7606;3.4062;3.5814;2.9763;3.5464;3.6059;3.9938;3.6583;3.5444;2.9862;2.5406;3.3078;3.535;2.9333;2.5733;3.2924;3.6552;3.2083;3.8545;2.8056;3.5926;3.6171;3.3632;3.6636;3.1385;3.2223;3.307;3.2577;3.7123;3.076;3.2815;3.6345;2.8298;3.3625;3.5277;2.4308;2.7869;3.2946;3.5;3.3909;3.048;3.275;2.8373;2.8993;3.278;2.4907;3.5673;3.4239;2.7393;2.6646;3.5405;3.196;2.3259;2.1098;3.2333;2.98;1.923;3.8024;3.7455;3.5175;3.0394;4.1333;2.9909;2.25;3.8857;3.6273;3.72;3.4875
54;Croatia;3.223;1.9443;3.4332;2.9212;2.8918;3.3;2.9645;3.1904;3.2151;3.6493;3.4154;3.4246;3.6549;3.2967;3.5573;2.9026;3.397;3.4201;3.8951;3.5432;3.4003;2.8934;2.4171;3.188;3.3288;3.183;2.4503;3.128;3.466;3.1656;3.791;2.6582;3.4663;3.4391;3.1259;3.5481;3.1144;3.108;2.8797;3.1689;3.5584;2.8216;2.8765;3.5458;2.5936;3.4204;3.3;2.3714;2.6994;3.0383;3.1062;3.3682;2.9207;3.3667;2.8973;2.7014;3.3348;2.3391;3.4739;3.2373;2.8387;2.6608;3.5556;3.1475;1.9238;1.8133;3.0267;2.8899;1.6147;3.6311;3.6058;3.304;2.9311;3.8861;2.9078;1.92;3.7522;3.5172;3.65;3.0217
